quantile_value,income
0.0624062406,168000.0000000000
0.0625062506,168000.0000000000
0.0626062606,168000.0000000000
0.0627062706,168000.0000000000
0.0628062806,168000.0000000000
0.0629062906,168000.0000000000
0.0630063006,168000.0000000000
0.0631063106,168000.0000000000
0.0632063206,168000.0000000000
0.0633063306,168000.0000000000
0.0634063406,168000.0000000000
0.0635063506,168000.0000000000
0.0636063606,168000.0000000000
0.0637063706,168000.0000000000
0.0638063806,168000.0000000000
0.0639063906,168000.0000000000
0.0640064006,168000.0000000000
0.0641064106,168000.0000000000
0.0642064206,168000.0000000000
0.0643064306,168000.0000000000
0.0644064406,168000.0000000000
0.0645064506,168000.0000000000
0.0646064606,168000.0000000000
0.0647064706,168000.0000000000
0.0648064806,168000.0000000000
0.0649064906,168000.0000000000
0.0650065007,168000.0000000000
0.0651065107,168000.0000000000
0.0652065207,168000.0000000000
0.0653065307,168000.0000000000
0.0654065407,168000.0000000000
0.0655065507,168000.0000000000
0.0656065607,168000.0000000000
0.0657065707,168000.0000000000
0.0658065807,168000.0000000000
0.0659065907,168000.0000000000
0.0660066007,168000.0000000000
0.0661066107,168000.0000000000
0.0662066207,168000.0000000000
0.0663066307,168000.0000000000
0.0664066407,168000.0000000000
0.0665066507,168000.0000000000
0.0666066607,168000.0000000000
0.0667066707,168000.0000000000
0.0668066807,168000.0000000000
0.0669066907,168000.0000000000
0.0670067007,168000.0000000000
0.0671067107,168000.0000000000
0.0672067207,168000.0000000000
0.0673067307,168000.0000000000
0.0674067407,168000.0000000000
0.0675067507,168000.0000000000
0.0676067607,168000.0000000000
0.0677067707,168000.0000000000
0.0678067807,168000.0000000000
0.0679067907,168000.0000000000
0.0680068007,168000.0000000000
0.0681068107,168000.0000000000
0.0682068207,168000.0000000000
0.0683068307,168000.0000000000
0.0684068407,168000.0000000000
0.0685068507,168000.0000000000
0.0686068607,168000.0000000000
0.0687068707,168000.0000000000
0.0688068807,168000.0000000000
0.0689068907,168000.0000000000
0.0690069007,168000.0000000000
0.0691069107,168000.0000000000
0.0692069207,168000.0000000000
0.0693069307,168000.0000000000
0.0694069407,168000.0000000000
0.0695069507,168000.0000000000
0.0696069607,168000.0000000000
0.0697069707,168000.0000000000
0.0698069807,168000.0000000000
0.0699069907,168000.0000000000
0.0700070007,168000.0000000000
0.0701070107,168000.0000000000
0.0702070207,168000.0000000000
0.0703070307,168000.0000000000
0.0704070407,168000.0000000000
0.0705070507,168000.0000000000
0.0706070607,168000.0000000000
0.0707070707,168000.0000000000
0.0708070807,168000.0000000000
0.0709070907,168000.0000000000
0.0710071007,168000.0000000000
0.0711071107,168000.0000000000
0.0712071207,168000.0000000000
0.0713071307,168000.0000000000
0.0714071407,168000.0000000000
0.0715071507,168000.0000000000
0.0716071607,168000.0000000000
0.0717071707,168000.0000000000
0.0718071807,168000.0000000000
0.0719071907,168000.0000000000
0.0720072007,168000.0000000000
0.0721072107,168000.0000000000
0.0722072207,168000.0000000000
0.0723072307,168000.0000000000
0.0724072407,168000.0000000000
0.0725072507,168000.0000000000
0.0726072607,168000.0000000000
0.0727072707,168000.0000000000
0.0728072807,168000.0000000000
0.0729072907,168000.0000000000
0.0730073007,168000.0000000000
0.0731073107,168000.0000000000
0.0732073207,168000.0000000000
0.0733073307,168000.0000000000
0.0734073407,168000.0000000000
0.0735073507,168000.0000000000
0.0736073607,168000.0000000000
0.0737073707,168000.0000000000
0.0738073807,168000.0000000000
0.0739073907,168000.0000000000
0.0740074007,168000.0000000000
0.0741074107,168000.0000000000
0.0742074207,168000.0000000000
0.0743074307,168000.0000000000
0.0744074407,168000.0000000000
0.0745074507,168000.0000000000
0.0746074607,168000.0000000000
0.0747074707,168000.0000000000
0.0748074807,168000.0000000000
0.0749074907,168000.0000000000
0.0750075008,168000.0000000000
0.0751075108,168000.0000000000
0.0752075208,168000.0000000000
0.0753075308,168000.0000000000
0.0754075408,168000.0000000000
0.0755075508,168000.0000000000
0.0756075608,168000.0000000000
0.0757075708,168000.0000000000
0.0758075808,168000.0000000000
0.0759075908,168000.0000000000
0.0760076008,168000.0000000000
0.0761076108,168000.0000000000
0.0762076208,168000.0000000000
0.0763076308,168000.0000000000
0.0764076408,168000.0000000000
0.0765076508,168000.0000000000
0.0766076608,168000.0000000000
0.0767076708,168000.0000000000
0.0768076808,168000.0000000000
0.0769076908,168000.0000000000
0.0770077008,168000.0000000000
0.0771077108,168000.0000000000
0.0772077208,168000.0000000000
0.0773077308,168000.0000000000
0.0774077408,168000.0000000000
0.0775077508,168000.0000000000
0.0776077608,168000.0000000000
0.0777077708,168000.0000000000
0.0778077808,168000.0000000000
0.0779077908,168000.0000000000
0.0780078008,168000.0000000000
0.0781078108,168000.0000000000
0.0782078208,168000.0000000000
0.0783078308,168000.0000000000
0.0784078408,168000.0000000000
0.0785078508,168000.0000000000
0.0786078608,168000.0000000000
0.0787078708,168000.0000000000
0.0788078808,168000.0000000000
0.0789078908,168000.0000000000
0.0790079008,168000.0000000000
0.0791079108,168000.0000000000
0.0792079208,168000.0000000000
0.0793079308,168000.0000000000
0.0794079408,168000.0000000000
0.0795079508,168000.0000000000
0.0796079608,168210.1748199731
0.0797079708,168770.7509402009
0.0798079808,169573.4305920058
0.0799079908,170509.9146204166
0.0800080008,171471.9038704620
0.0801080108,172351.0991871708
0.0802080208,173039.2014155718
0.0803080308,173427.9114006937
0.0804080408,173552.7302306380
0.0805080508,173658.3085880623
0.0806080608,173751.6885536509
0.0807080708,173831.8108070858
0.0808080808,173897.6160280491
0.0809080908,173948.0448962228
0.0810081008,173982.0380912892
0.0811081108,173998.5362929301
0.0812081208,174000.0000000000
0.0813081308,174000.0000000000
0.0814081408,174000.0000000000
0.0815081508,174000.0000000000
0.0816081608,174000.0000000000
0.0817081708,174000.0000000000
0.0818081808,174000.0000000000
0.0819081908,174000.0000000000
0.0820082008,174000.0000000000
0.0821082108,174000.0000000000
0.0822082208,174000.0000000000
0.0823082308,174000.0000000000
0.0824082408,174000.0000000000
0.0825082508,174000.0000000000
0.0826082608,174000.0000000000
0.0827082708,174000.0000000000
0.0828082808,174000.0000000000
0.0829082908,174000.0000000000
0.0830083008,174000.0000000000
0.0831083108,174000.0000000000
0.0832083208,174000.0000000000
0.0833083308,174000.0000000000
0.0834083408,174000.0000000000
0.0835083508,174000.0000000000
0.0836083608,174000.0000000000
0.0837083708,174000.0000000000
0.0838083808,174000.0000000000
0.0839083908,174000.0000000000
0.0840084008,174000.0000000000
0.0841084108,174000.0000000000
0.0842084208,174000.0000000000
0.0843084308,174000.0000000000
0.0844084408,174000.0000000000
0.0845084508,174000.0000000000
0.0846084608,174000.0000000000
0.0847084708,174000.0000000000
0.0848084808,174000.0000000000
0.0849084908,174000.0000000000
0.0850085009,174000.0000000000
0.0851085109,174000.0000000000
0.0852085209,174000.0000000000
0.0853085309,174000.0000000000
0.0854085409,174000.0000000000
0.0855085509,174000.0000000000
0.0856085609,174000.0000000000
0.0857085709,174000.0000000000
0.0858085809,174000.0000000000
0.0859085909,174000.0000000000
0.0860086009,174000.0000000000
0.0861086109,174000.0000000000
0.0862086209,174000.0000000000
0.0863086309,174000.0000000000
0.0864086409,174000.0000000000
0.0865086509,174000.0000000000
0.0866086609,174000.0000000000
0.0867086709,174000.0000000000
0.0868086809,174000.0000000000
0.0869086909,174000.0000000000
0.0870087009,174000.0000000000
0.0871087109,174000.0000000000
0.0872087209,174000.0000000000
0.0873087309,174000.0000000000
0.0874087409,174000.0000000000
0.0875087509,174000.0000000000
0.0876087609,174000.0000000000
0.0877087709,174000.0000000000
0.0878087809,174000.0000000000
0.0879087909,174000.0000000000
0.0880088009,174000.0000000000
0.0881088109,174000.0000000000
0.0882088209,174000.0000000000
0.0883088309,174000.0000000000
0.0884088409,174000.0000000000
0.0885088509,174000.0000000000
0.0886088609,174000.0000000000
0.0887088709,174000.0000000000
0.0888088809,174000.0000000000
0.0889088909,174000.0000000000
0.0890089009,174000.0000000000
0.0891089109,174000.0000000000
0.0892089209,174000.0000000000
0.0893089309,174000.0000000000
0.0894089409,174000.0000000000
0.0895089509,174000.0000000000
0.0896089609,174000.0000000000
0.0897089709,174000.0000000000
0.0898089809,174000.0000000000
0.0899089909,174000.0000000000
0.0900090009,174000.0000000000
0.0901090109,174000.0000000000
0.0902090209,174000.0000000000
0.0903090309,174000.0000000000
0.0904090409,174000.0000000000
0.0905090509,174000.0000000000
0.0906090609,174000.0000000000
0.0907090709,174000.0000000000
0.0908090809,174000.0000000000
0.0909090909,174000.0000000000
0.0910091009,174001.7360509997
0.0911091109,174038.7223537577
0.0912091209,174114.2090137813
0.0913091309,174215.4344063722
0.0914091409,174329.6369068323
0.0915091509,174444.0548904637
0.0916091609,174545.9267325680
0.0917091709,174622.4908084471
0.0918091809,174661.0622886833
0.0919091909,174676.0588399064
0.0920092009,174686.4701900348
0.0921092109,174693.8797290708
0.0922092209,174699.8708470171
0.0923092309,174706.0269338763
0.0924092409,174713.9313796508
0.0925092509,174725.1675743432
0.0926092609,174741.3189079562
0.0927092709,174849.9454590433
0.0928092809,175162.8697340384
0.0929092909,175627.9367659214
